probe	coefficient	term_type
(Intercept)	18.3652895480225	intercept
cg20274304	0.957059775156101	probe
cg14069088	-0.860302818091654	probe
cg02090033	-0.670389650060898	probe
cg03238075	0.604976509362102	probe
cg14660676	-0.569039712305225	probe
cg06972389	-0.555000042748202	probe
cg02281970	0.554241253667801	probe
cg03609666	-0.541981752353592	probe
cg22352818	0.528048048280299	probe
cg24604013	0.521486475000125	probe
cg04178787	-0.505729976611735	probe
cg00164949	0.504108765264313	probe
cg25480336	-0.503709960585953	probe
cg24725522	-0.496868242606582	probe
cg17029019	-0.487804515182815	probe
cg04633922	-0.485366525714101	probe
cg14428146	-0.480096781287769	probe
cg26016267	0.471779818903488	probe
cg13702005	-0.459669166374495	probe
cg23357130	0.451049014192509	probe
cg02546607	-0.44690140921615	probe
cg01682111	-0.444668972300277	probe
cg14215310	0.441898101578414	probe
cg15644639	-0.44034671760258	probe
cg03161803	0.435943520208946	probe
cg19653212	0.434392560674779	probe
cg09907936	-0.431011982889688	probe
cg06833110	0.428831647341209	probe
cg01916088	0.428522393255577	probe
cg09375033	-0.41936181880474	probe
cg25862063	-0.416666105851163	probe
cg18812904	0.414826484960716	probe
cg05661282	0.411223866281756	probe
cg17342469	0.404616681497674	probe
cg03225210	-0.402389752453937	probe
cg16551732	-0.39844560028422	probe
cg23082281	-0.396813919404627	probe
cg13990947	-0.395679233413855	probe
cg13033070	-0.395183624202713	probe
cg22076123	-0.394896758454599	probe
cg16295725	-0.393349120207921	probe
cg18103859	0.393173957445177	probe
cg10606490	-0.392613420823969	probe
cg10778841	-0.390880333637661	probe
cg12074025	0.387019554097544	probe
cg15549700	-0.386205388400705	probe
cg09068128	0.379294958081348	probe
cg27357306	-0.376787097650714	probe
cg20981086	0.37317715472374	probe
cg05341539	0.372170779408772	probe
cg25228422	0.370970783236157	probe
cg13519035	0.363085979075282	probe
cg06496728	0.358791395090631	probe
cg21140898	-0.356892503832946	probe
cg07949597	-0.354856334465519	probe
cg21330896	-0.353391336808311	probe
cg04142864	-0.346419469056855	probe
cg02362859	-0.341147329961379	probe
cg23161999	0.340500479158002	probe
cg09614389	0.340079525015491	probe
cg08402365	0.337681988637047	probe
cg03668763	0.336960371072956	probe
cg01336231	0.336390834352009	probe
cg26559315	-0.335547616028018	probe
cg20172627	0.335487362311552	probe
cg01571001	-0.33378791227022	probe
cg16296417	-0.333632832383985	probe
cg13300273	0.333514505879744	probe
cg00064255	-0.331707010754114	probe
cg12620035	-0.33091820868222	probe
cg09846875	-0.330335275771669	probe
cg26379859	-0.330183264009536	probe
cg26104083	-0.329309786339018	probe
cg23012310	-0.322896759630784	probe
cg10846615	-0.322842497152972	probe
cg13065507	-0.314915033251198	probe
cg07570470	-0.314854488551357	probe
cg23497383	-0.314760815323545	probe
cg22877570	0.312552130919374	probe
cg08309809	-0.311975814307165	probe
cg01316378	0.305339249408801	probe
cg04698114	0.305190454979231	probe
cg25884711	-0.304791751197723	probe
cg03457729	0.304667659842441	probe
cg18507379	0.304483943243691	probe
cg27071460	0.302292417623976	probe
cg12273284	-0.301079385725952	probe
cg07471018	-0.301005634689653	probe
cg05390968	0.300726743855318	probe
cg05659097	-0.300498242945731	probe
cg09678939	-0.299531574561255	probe
cg01020413	0.295713751924724	probe
cg11694519	-0.295615090266091	probe
cg15843567	0.293469209840833	probe
cg21126344	0.292524945558312	probe
cg12865888	0.290808407181122	probe
cg12880095	0.290672078975318	probe
cg08703872	0.288284861751367	probe
cg25547580	-0.287997656055553	probe
cg23735712	-0.287097012829303	probe
cg18566515	-0.286794007700062	probe
cg07636194	0.286689656626104	probe
cg07687131	-0.285524364978466	probe
cg01030534	-0.284629918258705	probe
cg22272840	-0.283384928692166	probe
cg08597799	0.282418209054024	probe
cg22620090	0.281532362342823	probe
cg11203512	-0.2809341279183	probe
cg05542338	0.278815978949121	probe
cg13832669	0.277596204165496	probe
cg20042662	-0.277071656411048	probe
cg22708150	-0.275478941084034	probe
cg19269426	0.275037978605596	probe
cg17526103	-0.274349864924182	probe
cg19798702	-0.273274377784985	probe
cg17588713	-0.271904065145979	probe
cg22942804	0.271666122569763	probe
cg12619262	-0.267653775031706	probe
cg17159790	-0.265819943800715	probe
cg00228017	-0.265275428445444	probe
cg13668618	-0.264286222461335	probe
cg16493071	-0.26378751716983	probe
cg15732851	-0.261708460706935	probe
cg12733396	-0.259483512122306	probe
cg15241920	0.258202857130705	probe
cg17536595	0.257321670440413	probe
cg26839512	0.255304018925649	probe
cg10249375	0.254779331747944	probe
cg06565975	-0.254456470550199	probe
cg07045089	-0.250097635815942	probe
cg08521684	0.249751841432712	probe
cg04837438	-0.248975401966383	probe
cg08322244	0.248071682037832	probe
cg27139419	0.247776400956422	probe
cg02639108	0.247757249526673	probe
cg09420907	0.247252178811793	probe
cg01280881	-0.24637887719066	probe
cg01109574	-0.246273924391474	probe
cg26717554	0.246000355289529	probe
cg08416194	-0.245735620646635	probe
cg24416513	0.245058877761241	probe
cg16252110	-0.242974619808924	probe
cg24562669	-0.242045419854589	probe
cg06060135	0.242030078827835	probe
cg00263677	0.241215124830923	probe
cg08901662	-0.241169617241264	probe
cg16207110	-0.241164288702902	probe
cg02514003	-0.241031707004016	probe
cg05460318	-0.24076122616965	probe
cg04415798	0.238848115283914	probe
cg17698295	0.236699855573508	probe
cg05797854	-0.235075379953194	probe
cg22879515	-0.234840630404045	probe
cg13546935	-0.234485268009642	probe
cg10721220	-0.233930591832773	probe
cg23054189	0.233817346488938	probe
cg24830730	-0.230008595349038	probe
cg01070987	-0.22310689860519	probe
cg25916282	0.223100394070028	probe
cg17842821	0.223066837950281	probe
cg24232083	0.222818161920846	probe
cg23651889	0.222768536489864	probe
cg07110405	-0.220489439817399	probe
cg16236270	0.220313338914699	probe
cg26777729	-0.218727311903586	probe
cg20299703	0.217233810783232	probe
cg07897248	-0.217068632511192	probe
cg19851816	0.216678270560837	probe
cg15086439	-0.216186881763685	probe
cg11793699	0.215801810046649	probe
cg00744866	0.215377609280879	probe
cg15094236	-0.214234990365439	probe
cg02391713	0.213448528194154	probe
cg19457477	0.212097478707957	probe
cg21222178	-0.211565626335403	probe
cg13283765	0.210961552406793	probe
cg20615879	-0.210790164537881	probe
cg24245418	0.208820854431977	probe
cg22434409	-0.206939773252471	probe
cg10933959	-0.206059541681941	probe
cg19058865	-0.205004427070677	probe
cg23736843	0.204440566514579	probe
cg12174804	-0.203896142286835	probe
cg14711997	-0.201724215264427	probe
cg08149193	0.201486955076427	probe
cg04970570	-0.200707450241329	probe
cg08217163	0.199193504084292	probe
cg02108623	0.198923734047683	probe
cg00399591	-0.19769054402102	probe
cg10687219	-0.197425058606227	probe
cg00495860	-0.196826537138046	probe
cg08253164	0.196469349769586	probe
cg21097881	-0.196004286586517	probe
cg13239420	0.195815385098791	probe
cg08480826	-0.195039552415042	probe
cg20564892	-0.193534197527162	probe
cg01159194	-0.192173772603207	probe
cg26263234	0.19168370940541	probe
cg11362010	0.190069640776048	probe
cg16695576	-0.188471896187287	probe
cg20663852	0.18813160864525	probe
cg18690729	0.187862517762206	probe
cg05173913	0.187614143185897	probe
cg22878627	0.187297424897254	probe
cg08818984	0.186975477068655	probe
cg19418458	0.186865589627768	probe
cg22077197	-0.185122488876746	probe
cg20281962	0.185067217843466	probe
cg25542878	-0.184041279783968	probe
cg01612247	0.183868397265953	probe
cg12902206	-0.182121878756027	probe
cg25888561	0.180593886839582	probe
cg19954537	0.178723944791616	probe
cg00806644	0.178559875544884	probe
cg10313047	-0.17847256578583	probe
cg23281529	0.177979654001329	probe
cg27484412	0.177477450735962	probe
cg05224741	0.175579462537521	probe
cg21082028	0.175033392478866	probe
cg25114913	-0.174602741985098	probe
cg17495130	0.173923206338502	probe
cg22473620	0.173280178945508	probe
cg06206801	0.172465800777227	probe
cg11182199	-0.172183423947361	probe
cg13225830	-0.171240603055625	probe
cg02740007	-0.170441508082442	probe
cg14409810	0.170330430932203	probe
cg09232555	0.168607755743308	probe
cg06728252	0.168526345429586	probe
cg25628701	0.167368154491104	probe
cg13581527	-0.167344927460361	probe
cg10964944	-0.166883152123567	probe
cg08004073	0.166842931490263	probe
cg00034076	-0.166724003890375	probe
cg17497608	0.166720786562245	probe
cg00123762	0.166514461051602	probe
cg06675538	0.165465735016413	probe
cg14027288	-0.164830988107584	probe
cg09982773	0.164605709788589	probe
cg23189410	0.163859241870338	probe
cg04737131	0.163718829758034	probe
cg25123470	-0.16357238181466	probe
cg25459558	-0.162830004516312	probe
cg12928379	0.162698907950629	probe
cg17265829	-0.162357866918159	probe
cg12479878	0.162014884746931	probe
cg10815657	-0.161303998334831	probe
cg19255477	0.161089578500078	probe
cg17437939	0.160677351630569	probe
cg26733301	0.159988859271848	probe
cg03510186	-0.15890425195114	probe
cg05673968	0.158639886501282	probe
cg15709989	0.158399948787658	probe
cg13625875	0.158081271834199	probe
